MSA.FIPS.Code,MSA.Name,latitude,longitude,OVERALL.RANK,OVERALL.INDEX,GOAL.1.AVERAGE,%.of.population.living.below.the.federal.poverty.level,Per.Capita.Personal.Income,%.of.children.living.Below.Twice.the.poverty.Line,GOAL.2.AVERAGE,Food.insecurity.rate,Percent.of.population.that.is.obese,GOAL.3.AVERAGE,Infant.mortality.rate,Percentage.of.low.birth.weight.babies.,"Number.of.new.Syphilis,.Chlamydia.and.Gonorrhea.cases.diagnosed.per.100,000.population..","Number.of.diagnosed.incidences.of.all.types.of.diabetes.per.1,000.people..",Deaths.due.to.heart.attack,.Death.due.to.traffic.accidents,Percent.of.persons.with.health.insurance.coverage,Primary.Care.Physicians.Per.100000.People,GOAL.4.AVERAGE,School.enrollment,%.of.Population.Without.High.School.Degree,"%.of.3-4.year.olds.enrolled.in.school.(nursery,.pre-k,.kindergarden)",%.of.Population.with.an.Undergraduate.Degree,GOAL.5.AVERAGE,Median.earnings.gap,Rapes.known.to.law.enforcement,%.of.businesses.owned.by.women.,GOAL.6.AVERAGE,Normalized.Deficit.(Water.Stress).,GOAL.7.AVERAGE,Share.of.Low.Carbon.Energy.Generated.in.the.State,GOAL.8.AVERAGE,GDP.Growth,Percent.of.jobs.in.STEM.fields,Unemployment.rate,Disconnected.youth.(ages.16.to.24.not.in.school.and.not.working),GOAL.9.AVERAGE,Number.of.utility.patent.grants,Broadband.penetration,GOAL.10.AVERAGE,Gini.coefficient,Racial.Segregation,Absolute.Upward.Mobility,GOAL.11.AVERAGE,Housing.Affordability,Percent.of.households.living.in.overcrowded.housing,Use.of.sustainable.Transportation,Smart.Growth.America's.Sprawl.Index,Access.to.Parks,PM.2.5.Average.Levels.(Population.Weighted),Ozone.Levels.(8-Hr),GOAL.12.AVERAGE,"Toxic.release.of.air,.water.and.land.per.square.mile.(lbs)",GOAL.13.AVERAGE,Average.annual.household.carbon.footprint,GOAL.15.AVERAGE,Green.open.space.,Number.of.brownfield.and.superfund.sites,GOAL.16.AVERAGE,Violent.crime..Offences.known.to.law.enforcement,"Deaths.by.firearms.per.100,000.population"
10900,"Allentown-Bethlehem-Easton, PA-NJ ",40.7292,-75.2479,21,54.61,47.88,64.01,28.74,50.90,29.28,45.93,12.62,51.36,69.24,36.67,78.54,31.18,24.72,51.94,59.20,59.41,30.23,19.03,57.28,12.64,31.97,41.40,19.22,96.89,8.08,99.76,99.76,49.80,49.80,63.75,59.76,37.46,92.70,65.08,26.19,17.60,34.77,58.14,27.02,61.39,86.02,58.15,81.79,92.80,13.94,84.88,48.94,35.56,49.14,94.88,94.88,53.35,53.35,48.14,24.71,71.56,66.92,66.92,
36260,"Ogden-Clearfield, UT ",41.1645,-112.0476,22,54.39,45.95,72.60,8.94,56.32,26.58,31.51,21.64,51.53,64.73,50.78,91.53,75.94,12.66,64.42,52.15,0.00,33.51,13.57,72.83,9.68,37.96,21.72,0.00,59.36,5.79,99.84,99.84,0.91,0.91,65.58,32.52,35.97,100.00,93.83,31.53,12.74,50.32,78.98,43.99,93.96,99.00,60.55,84.87,79.49,10.58,54.16,83.37,67.41,43.97,97.16,97.16,58.11,58.11,69.90,41.98,97.82,73.97,58.40,89.55
45940,"Trenton, NJ ",40.2206,-74.7597,23,54.38,60.07,62.40,58.73,59.08,32.84,36.27,29.40,57.33,37.14,34.42,62.70,49.56,55.59,72.94,51.14,95.17,53.23,42.11,50.72,46.90,73.21,42.56,34.32,80.76,12.59,99.89,99.89,47.67,47.67,63.07,32.27,58.54,98.39,,32.64,44.54,20.74,17.75,4.38,,31.12,66.30,73.26,84.97,47.60,100.00,49.00,65.11,44.19,99.72,99.72,53.76,53.76,22.03,44.06,0.00,66.87,74.81,58.93
33460,"Minneapolis-St. Paul-Bloomington, MN-WI ",45.2473,-93.4554,24,54.27,60.02,69.92,45.11,65.04,35.95,45.73,26.16,64.23,64.58,57.59,63.03,85.52,26.65,78.46,69.78,68.24,49.88,38.75,72.94,16.06,71.74,36.54,33.32,56.65,19.67,75.56,75.56,53.69,53.69,70.54,29.82,58.33,100.00,94.00,39.98,31.54,48.43,51.31,23.81,49.30,80.82,61.38,85.60,82.50,28.37,40.69,97.08,34.06,,88.27,88.27,0.00,0.00,49.13,29.97,68.28,77.57,81.98,73.17
35300,"New Haven-Milford, CT ",41.3873,-72.9461,25,53.62,46.85,53.80,36.55,50.21,25.42,27.59,23.25,55.52,53.68,33.07,61.85,59.31,39.17,63.30,64.24,69.57,47.03,36.90,58.00,39.89,53.35,44.25,29.54,90.78,12.42,99.98,99.98,58.18,58.18,54.26,7.06,53.46,93.82,62.70,28.03,23.18,32.88,32.13,15.13,26.11,55.15,59.76,70.55,90.28,31.25,74.84,52.04,69.13,30.23,95.11,95.11,53.59,53.59,27.65,55.31,0.00,76.49,84.16,68.81
44060,"Spokane-Spokane Valley, WA ",47.6732,-117.2394,26,53.57,28.24,37.68,13.20,33.82,14.09,14.01,14.17,52.56,64.50,41.73,60.90,50.86,29.94,57.37,53.66,61.50,30.74,17.17,70.81,3.29,31.67,19.70,21.49,30.50,7.11,99.81,99.81,100.00,100.00,56.63,11.79,33.57,88.99,92.18,24.63,6.91,42.36,40.02,22.22,,57.82,69.61,73.98,88.98,19.71,91.06,48.35,79.15,86.05,72.78,72.78,54.18,54.18,83.84,69.47,98.21,56.74,46.25,67.23
25420,"Harrisburg-Carlisle, PA ",40.3157,-77.1025,27,53.46,47.78,63.47,28.62,51.25,22.12,33.64,10.60,48.10,,32.88,66.40,32.00,23.45,46.86,62.22,72.92,28.59,8.74,60.05,5.63,39.94,36.91,32.81,65.31,12.61,99.73,99.73,49.80,49.80,54.76,18.14,49.62,97.58,53.71,21.45,5.47,37.43,38.02,29.00,21.88,63.18,56.50,88.79,95.14,16.35,68.78,37.45,32.50,,98.53,98.53,53.90,53.90,78.30,64.01,92.58,67.36,57.51,77.21
12580,"Baltimore-Columbia-Towson, MD ",39.3726,-76.6413,28,53.29,58.09,64.54,45.94,63.79,29.41,43.93,14.88,51.28,49.01,17.97,42.54,40.64,55.18,60.49,66.25,78.20,44.01,24.70,60.81,24.94,65.59,52.00,35.83,74.65,45.51,83.91,83.91,56.00,56.00,70.41,26.11,83.29,97.07,75.15,26.72,9.57,43.88,22.97,19.77,22.50,26.64,56.57,71.28,91.27,36.54,74.01,51.49,40.84,30.55,93.85,93.85,47.72,47.72,75.75,79.61,71.89,30.73,40.69,20.77
29540,"Lancaster, PA ",40.0467,-76.1784,29,53.06,43.78,64.54,22.44,44.36,29.35,44.52,14.18,50.27,59.08,63.20,92.34,47.93,20.65,38.29,38.04,42.60,16.44,0.00,38.42,1.89,25.45,25.08,2.11,73.12,0.00,99.40,99.40,49.80,49.80,58.72,48.40,28.09,99.66,,12.72,6.98,18.47,53.87,32.73,46.87,82.02,49.30,83.30,88.14,17.79,70.33,21.60,12.76,51.16,92.75,92.75,57.33,57.33,72.41,64.83,80.00,84.62,82.13,87.10
40900,"Sacramento–Roseville–Arden-Arcade, CA ",39.0427,-120.712,30,52.26,37.49,37.68,33.99,40.80,20.84,14.97,26.72,56.61,70.10,61.64,47.18,70.93,20.94,60.50,51.64,69.97,37.47,34.56,53.92,16.06,45.32,51.70,40.87,85.51,28.71,77.16,77.16,51.58,51.58,59.85,45.15,53.61,94.68,45.94,31.32,11.57,51.08,39.78,16.95,40.74,61.66,48.43,48.64,61.72,21.63,53.78,79.86,57.82,15.53,99.68,99.68,59.42,59.42,52.53,32.75,72.31,60.10,62.33,57.88
