name,latitude,longitude,score,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG15,SDG16
"Chicago-Naperville-Elgin, IL-IN-WI ",42.2163,-87.855,43.84,45.66,31.54,51.44,43.41,45.38,11.78,72.26,55.32,25.54,14.06,63.08,38.11,50.66,51.39,57.91
"Chattanooga, TN-GA ",35.0382,-85.355,43.83,30.05,15.46,36.03,23.58,32.94,91.43,56.33,45.13,7.84,19.1,38.64,98.91,50.84,72.13,39.07
"Charlotte-Concord-Gastonia, NC-SC ",35.1223,-80.7214,43.8,37.36,18.82,30.19,36.48,32.56,63.48,47.36,56.5,23.37,19.72,40.39,91.43,52.29,59.31,47.72
"McAllen-Edinburg-Mission, TX ",26.122652,-98.13480396,43.78,0,24.12,40.71,11.33,50.38,38.38,22.56,30.05,0,52.41,42.17,100,65.12,98.99,80.43
"Salt Lake City, UT ",40.7608,-111.891,43.55,44.9,27.73,52.85,33.96,10.39,99.31,0.91,64.27,29.76,66.42,55.92,0,57.73,55.76,53.41
"Kansas City, MO-KS ",39.0654,-94.5624,43.48,45,16.73,46.61,39.97,50.79,54.72,12.16,64.58,25.4,29.9,52.26,90.65,7.36,51.41,64.7
"Detroit-Warren-Dearborn, MI ",42.3223,-83.1763,43.12,33.83,9.29,41.74,35.4,35.12,86.66,40.84,58.96,28.94,8.43,62,62.52,47.4,61.62,34.08
"Youngstown-Warren-Boardman, OH-PA ",41.292,-80.5438,42.76,19.81,9.28,39.33,22.1,11.06,94.46,13.57,37.31,10.54,27.22,52.24,96.45,51.65,89.64,66.72
"Jacksonville, FL ",30.3322,-81.6557,42.67,34.71,7.82,31.85,37.09,47.98,68.11,11.01,53.53,20.2,25.45,52.79,87.09,56.47,76.7,29.3
"Louisville/Jefferson County, KY-IN ",38.2527,-85.7585,42.61,37.03,12.95,38.7,32.31,46.8,96.54,0,59.32,19.07,23.78,47.8,80.75,49.3,49.88,44.9
"Las Vegas-Henderson-Paradise, NV ",36.0796,-115.094,42.53,26.26,22.03,42.88,15.04,39.47,99.91,9.53,37.83,15.6,46.38,54.06,95.77,57.59,52.29,23.37
