msa,year,value
"Kingston, Ontario",2010,6.2
"Kingston, Ontario",2011,6.7
"Kingston, Ontario",2012,6.7
"Kingston, Ontario",2013,6.3
"Kingston, Ontario",2014,6.8
"Kingston, Ontario",2015,6.6
"Kingston, Ontario",2016,5.8
"Kingston, Ontario",2017,5.5
"Kingston, Ontario",2018,5.5
"Kingston, Ontario",2019,5.3
"Kingston, Ontario",2020,8.5
"Kitchener-Cambridge-Waterloo, Ontario",2001,6.2
"Kitchener-Cambridge-Waterloo, Ontario",2002,5.7
"Kitchener-Cambridge-Waterloo, Ontario",2003,5.9
"Kitchener-Cambridge-Waterloo, Ontario",2004,5.1
"Kitchener-Cambridge-Waterloo, Ontario",2005,5.7
"Kitchener-Cambridge-Waterloo, Ontario",2006,5.2
"Kitchener-Cambridge-Waterloo, Ontario",2007,5.6
"Kitchener-Cambridge-Waterloo, Ontario",2008,5.9
"Kitchener-Cambridge-Waterloo, Ontario",2009,9.7
"Kitchener-Cambridge-Waterloo, Ontario",2010,8.1
"Kitchener-Cambridge-Waterloo, Ontario",2011,6.7
"Kitchener-Cambridge-Waterloo, Ontario",2012,6.6
"Kitchener-Cambridge-Waterloo, Ontario",2013,6.9
"Kitchener-Cambridge-Waterloo, Ontario",2014,6.4
"Kitchener-Cambridge-Waterloo, Ontario",2015,5.9
"Kitchener-Cambridge-Waterloo, Ontario",2016,5.5
"Kitchener-Cambridge-Waterloo, Ontario",2017,5.1
"Kitchener-Cambridge-Waterloo, Ontario",2018,5.1
"Kitchener-Cambridge-Waterloo, Ontario",2019,5.3
"Kitchener-Cambridge-Waterloo, Ontario",2020,9.8
"London, Ontario",2001,6.4
"London, Ontario",2002,7.1
"London, Ontario",2003,6.8
"London, Ontario",2004,5.8
"London, Ontario",2005,6.6
"London, Ontario",2006,6.2
"London, Ontario",2007,6.0
"London, Ontario",2008,7.2
"London, Ontario",2009,10.0
"London, Ontario",2010,8.6
"London, Ontario",2011,8.9
"London, Ontario",2012,8.7
"London, Ontario",2013,8.6
"London, Ontario",2014,7.5
"London, Ontario",2015,6.5
"London, Ontario",2016,7.0
"London, Ontario",2017,5.9
"London, Ontario",2018,5.6
"London, Ontario",2019,5.5
"London, Ontario",2020,8.7
"Moncton, New Brunswick",2001,7.6
"Moncton, New Brunswick",2002,6.6
"Moncton, New Brunswick",2003,6.3
"Moncton, New Brunswick",2004,6.1
"Moncton, New Brunswick",2005,6.4
"Moncton, New Brunswick",2006,6.1
"Moncton, New Brunswick",2007,4.8
"Moncton, New Brunswick",2008,5.3
